📡  四川频道,#genre#
CCTV3,http://124.65.6.233:20000/rtp/239.3.1.172:8001
CCTV4,http://124.65.6.233:20000/rtp/239.3.1.105:8092
CCTV5,http://124.65.6.233:20000/rtp/239.3.1.173:8001
CCTV5+,http://124.65.6.233:20000/rtp/239.3.1.130:8004
CCTV6,http://124.65.6.233:20000/rtp/239.3.1.174:8001
CCTV7,http://124.65.6.233:20000/rtp/239.3.1.61:8104
CCTV8,http://124.65.6.233:20000/rtp/239.3.1.175:8001
CCTV9,http://124.65.6.233:20000/rtp/239.3.1.62:8112
CCTV10,http://124.65.6.233:20000/rtp/239.3.1.63:8116
CCTV11,http://124.65.6.233:20000/rtp/239.3.1.152:8120
CCTV12,http://124.65.6.233:20000/rtp/239.3.1.64:8124
CCTV13,http://124.65.6.233:20000/rtp/239.3.1.124:8128
CCTV14,http://124.65.6.233:20000/rtp/239.3.1.65:8132
CCTV15,http://124.65.6.233:20000/rtp/239.3.1.153:8136
CCTV164K,http://124.65.6.233:20000/rtp/239.3.1.183:8001
CCTV16,http://124.65.6.233:20000/rtp/239.3.1.184:8001
CCTV17,http://124.65.6.233:20000/rtp/239.3.1.151:8144
湖南卫视,http://124.65.6.233:20000/rtp/239.3.1.132:8012
东方卫视,http://124.65.6.233:20000/rtp/239.3.1.136:8032
浙江卫视,http://124.65.6.233:20000/rtp/239.3.1.137:8036
江苏卫视,http://124.65.6.233:20000/rtp/239.3.1.135:8028
深圳卫视,http://124.65.6.233:20000/rtp/239.3.1.134:8020
广东卫视,http://124.65.6.233:20000/rtp/239.3.1.142:8048
安徽卫视,http://124.65.6.233:20000/rtp/239.3.1.211:8064
天津卫视,http://124.65.6.233:20000/rtp/239.3.1.141:1234
重庆卫视,http://124.65.6.233:20000/rtp/239.3.1.122:8160
山东卫视,http://124.65.6.233:20000/rtp/239.3.1.209:8052
黑龙江卫视,http://124.65.6.233:20000/rtp/239.3.1.133:8016
河北卫视,http://124.65.6.233:20000/rtp/239.3.1.148:8072
辽宁卫视,http://124.65.6.233:20000/rtp/239.3.1.210:8056
湖北卫视,http://124.65.6.233:20000/rtp/239.3.1.138:8044
吉林卫视,http://124.65.6.233:20000/rtp/239.3.1.240:8172
贵州卫视,http://124.65.6.233:20000/rtp/239.3.1.149:8076
东南卫视,http://124.65.6.233:20000/rtp/239.3.1.156:8148
江西卫视,http://124.65.6.233:20000/rtp/239.3.1.123:8164
海南卫视,http://124.65.6.233:20000/rtp/239.3.1.45:8304
云南卫视,http://124.65.6.233:20000/rtp/239.3.1.26:8108
兵团卫视,http://124.65.6.233:20000/rtp/239.3.1.144:4120
厦门卫视,http://124.65.6.233:20000/rtp/239.3.1.143:4120
四川卫视,http://124.65.6.233:20000/rtp/239.3.1.29:8288
